ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year
108,Udhagamandalam,"GANESH, R.",INC,65530,60182,5348,GEN,Kongu,2021
109,Gudalur,PON.JAYASEELAN,AIADMK,64496,62551,1945,SC,Kongu,2021
110,Coonoor,"Ramachandran, K.",DMK,61820,57715,4105,GEN,Kongu,2021
111,Mettupalayam,SELVARAJ A K,AIADMK,105231,102775,2456,GEN,Kongu,2021
112,Avanashi,"DHANAPAL, P",AIADMK,117284,66382,50902,SC,Kongu,2021
113,Tiruppur (North),VIJEYAKUMAR.K.N,AIADMK,113384,73282,40102,GEN,Kongu,2021
114,Tiruppur (South),SELVARAJ. K.,DMK,75535,70826,4709,GEN,Kongu,2021
115,Palladam,ANANDAN M S M,AIADMK,126903,94212,32691,GEN,Kongu,2021
116,Sulur,KANDASAMY V.P.,AIADMK,118968,87036,31932,GEN,Kongu,2021
117,Kavundampalayam,G.Arunkumar,AIADMK,135669,125893,9776,GEN,Kongu,2021
118,Coimbatore North,AMMAN K.ARJUNAN,AIADMK,81454,77453,4001,GEN,Kongu,2021
119,Thondamuthur,S.P. VELUMANI,AIADMK,124225,82595,41630,GEN,Kongu,2021
120,Coimbatore South,VANATHI SRINIVASAN,BJP,53209,51481,1728,GEN,Kongu,2021
121,Singanallur,"Jayaram, K.R",AIADMK,81244,70390,10854,GEN,Kongu,2021
122,Kinathukadavu,Damodaran.S,AIADMK,101537,100442,1095,GEN,Kongu,2021
123,Pollachi,Pollachi V. Jayaraman,AIADMK,80567,78842,1725,GEN,Kongu,2021
124,Valparai,AMULKANDASAMI T K,AIADMK,71672,59449,12223,SC,Kongu,2021
125,Udumalpet,"Radhakrishnan,K.",AIADMK,96893,74998,21895,GEN,Kongu,2021
126,Madathukulam,C MAHENDRAN,AIADMK,84313,77875,6438,GEN,Kongu,2021
127,Palani,SENTHIL KUMAR I.P,DMK,108566,78510,30056,GEN,South,2021
128,Oddanchatram,SAKKARAPANI R,DMK,109970,81228,28742,GEN,South,2021
129,Athoor,PERIYASAMY I,DMK,165809,30238,135571,GEN,South,2021
130,Nilakottai,S.Thenmozhi,AIADMK,91461,63843,27618,SC,South,2021
131,Natham,NATHAM.R.VISWANATHAN,AIADMK,107762,95830,11932,GEN,South,2021
132,Dindigul,SREENIVASAN.C,AIADMK,90595,72848,17747,GEN,South,2021
133,Vedasandur,GANDHIRAJAN S,DMK,106481,88928,17553,GEN,South,2021
134,Aravakurichi,ELANGO. R,DMK,93369,68553,24816,GEN,Kongu,2021
135,Karur,SENTHILBALAJI V,DMK,101757,89309,12448,GEN,Kongu,2021
136,Krishnarayapuram,SIVAGAMA SUNDARI.K,DMK,96540,64915,31625,SC,Kongu,2021
137,Kulithalai,R.Manickam,DMK,100829,77289,23540,GEN,Kongu,2021
138,Manapparai,ABDUL SAMAD P,DMK,98077,85834,12243,GEN,Delta,2021
139,Srirangam,Palaniyandi.M,DMK,113904,93989,19915,GEN,Delta,2021
140,Tiruchirapalli (West),"Nehru, K.N.",DMK,118133,33024,85109,GEN,Delta,2021
141,Tiruchirapalli (East),"INIGO IRUDAYARAJ,S.",DMK,94302,40505,53797,GEN,Delta,2021
142,Thiruverambur,ANBIL MAHESH POYYAMOZHI,DMK,105424,55727,49697,GEN,Delta,2021
143,Lalgudi,A.SOUNDARAPANDIAN,DMK,84914,67965,16949,GEN,Delta,2021
144,Manachanallur,S. KATHIRAVAN,DMK,116334,56716,59618,GEN,Delta,2021
145,Musiri,N. Thiyagarajan,DMK,90624,63788,26836,GEN,Delta,2021
146,Thuraiyur,S.STALINKUMAR,DMK,87786,65715,22071,SC,Delta,2021
147,Perambalur,"PRABHAHARAN, M.",DMK,122090,91056,31034,SC,Central,2021
148,Kunnam,"SIVASANKAR, S.S.",DMK,103922,97593,6329,GEN,Central,2021
149,Ariyalur,CHINNAPPA K,DMK,103975,100741,3234,GEN,Central,2021
150,Jayankondam,KANNAN KA SO KA,DMK,99529,94077,5452,GEN,Central,2021
151,Tittakudi,"GANESAN,  C.V.",DMK,83726,62163,21563,SC,Central,2021
