ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year,margin_category
157,Bhuvanagiri,ARUNMOZHITHEVAN . A,AIADMK,75707,73220,2487,GEN,Central,2026,<5k
158,Chidambaram,THAMIMUN ANSARI. M,DMK,69739,63992,5747,GEN,Central,2026,5-10k
159,Kattumannarkoil,L.E. JOTHIMANI,VCK,85179,52116,33063,SC,Central,2026,20-50k
160,Sirkazhi,SENTHILSELVAN.R,DMK,71449,60032,11417,SC,Delta,2026,10-20k
161,Mayiladuthurai,JAMAL MOHAMED YOUNOOS. Y.N,INC,68011,57166,10845,GEN,Delta,2026,10-20k
162,Poompuhar,NIVEDHA M MURUGAN,DMK,81096,72836,8260,GEN,Delta,2026,5-10k
163,Nagapattinam,M.H.JAWAHIRULLAH,DMK,56305,46524,9781,GEN,Delta,2026,5-10k
164,Kilvelur,LATHA. T,CPI(M),56108,53830,2278,SC,Delta,2026,<5k
165,Vedaranyam,MANIAN. O.S,AIADMK,59172,51841,7331,GEN,Delta,2026,5-10k
166,Thiruthuraipoondi,MARIMUTHU.K,CPI,74062,61140,12922,SC,Delta,2026,10-20k
167,Mannargudi,KAMARAJ. S,AMMK,68416,66850,1566,GEN,Delta,2026,<5k
168,Thiruvarur,KALAIVANAN POONDI  K,DMK,93408,75260,18148,GEN,Delta,2026,10-20k
169,Nannilam,KAMARAJ. R,AIADMK,103462,61738,41724,GEN,Delta,2026,20-50k
170,Thiruvidaimarudur,GOVI.CHEZHIAAN,DMK,79951,65835,14116,SC,Delta,2026,10-20k
171,Kumbakonam,VINOTH,TVK,78650,77971,679,GEN,Delta,2026,<5k
172,Papanasam,A.M. SHAHJAHAN,IUML,69284,68219,1065,GEN,Delta,2026,<5k
173,Thiruvaiyaru,DURAI. CHANDRASEKARAN,DMK,80425,71870,8555,GEN,Delta,2026,5-10k
174,Thanjavur,R. VIJAYSARAVANAN,TVK,87705,70750,16955,GEN,Delta,2026,10-20k
175,Orathanadu,R. VAITHILINGAM,DMK,86759,51731,35028,GEN,Delta,2026,20-50k
176,Pattukkottai,ANNADURAI K,DMK,65963,52209,13754,GEN,Delta,2026,10-20k
177,Peravurani,ASHOKKUMAR. N,DMK,60919,57757,3162,GEN,Delta,2026,<5k
178,Gandharvakottai,N. SUBRAMANIAN,TVK,58795,47756,11039,SC,Delta,2026,10-20k
179,Viralimalai,VIJAYABASKAR. C,AIADMK,105773,43700,62073,GEN,Delta,2026,>50k
180,Pudukkottai,V. MUTHURAJA,DMK,66825,64958,1867,GEN,Delta,2026,<5k
181,Thirumayam,REGUPATHY.S,DMK,58201,56709,1492,GEN,Delta,2026,<5k
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,64929,51952,12977,GEN,Delta,2026,10-20k
183,Aranthangi,MOHAMED FARVAS. J,TVK,73244,63182,10062,GEN,Delta,2026,10-20k
184,Karaikudi,DR.PRABHU. TK,TVK,101358,55284,46074,GEN,South,2026,20-50k
185,Tiruppattur,SEENIVASA SETHUPATHY. R,TVK,83375,83374,1,GEN,South,2026,<5k
186,Sivaganga,KULANTHAI RANI A,TVK,73737,58656,15081,GEN,South,2026,10-20k
187,Manamadurai,ELANGOVAN.D,TVK,69971,68763,1208,SC,South,2026,<5k
188,Melur,P.VISWANATHAN,INC,60080,57356,2724,GEN,South,2026,<5k
189,Madurai East,KARTHIKEYAN S,TVK,118777,102230,16547,GEN,South,2026,10-20k
190,Sholavandan,KARUPPAIAH.M.V,TVK,63907,61229,2678,SC,South,2026,<5k
191,Madurai North,A.KALLANAI,TVK,72853,54815,18038,GEN,South,2026,10-20k
192,Madurai South,M.M.GOPISON,TVK,62415,40886,21529,GEN,South,2026,20-50k
193,Madurai Central,MADHAR BADHURUDEEN,TVK,63414,44286,19128,GEN,South,2026,10-20k
194,Madurai West,THANGAPANDI SR,TVK,88250,76319,11931,GEN,South,2026,10-20k
195,Thiruparankundram,NIRMALKUMAR. R.,TVK,114316,72763,41553,GEN,South,2026,20-50k
196,Thirumangalam,MANIMARAN.M,DMK,88291,64484,23807,GEN,South,2026,20-50k
197,Usilampatti,VIJAY. M,TVK,65743,63938,1805,GEN,South,2026,<5k
198,Andipatti,MAHARAJAN.A,DMK,74324,64770,9554,GEN,South,2026,5-10k
199,Periyakulam,SABARI IYNGARAN G.,TVK,85656,66335,19321,SC,South,2026,10-20k
200,Bodinayakanur,PANNEERSELVAM.O,DMK,85206,78401,6805,GEN,South,2026,5-10k
201,Cumbum,JEGANATHMISHRA PLA,TVK,85394,84643,751,GEN,South,2026,<5k
202,Rajapalayam,JEGADESHWARI. K,TVK,65548,54943,10605,GEN,South,2026,10-20k
203,Srivilliputhur,KARTHIK.A,TVK,65653,57072,8581,SC,South,2026,5-10k
204,Sattur,KADARKARAIRAJ. A,DMK,62060,56071,5989,GEN,South,2026,5-10k
205,Sivakasi,KEERTHANA S,TVK,68709,57039,11670,GEN,South,2026,10-20k
206,Virudhunagar,SELVAM P,TVK,63653,54262,9391,GEN,South,2026,5-10k
207,Aruppukkottai,RAMACHANDRAN. K.K.S.S.R,DMK,65104,60161,4943,GEN,South,2026,<5k
208,Tiruchuli,THANGAM THENARASU,DMK,75085,61600,13485,GEN,South,2026,10-20k
209,Paramakudi,ADVOCATE. KATHIRAVAN. K.K,DMK,59161,55613,3548,SC,South,2026,<5k
210,Tiruvadanai,RAJEEV,TVK,69551,67038,2513,GEN,South,2026,<5k
