ac_number,constituency,winner_2021,party_2021,votes_2021,runner_up_votes_2021,margin_2021,reserved_2021,region_2021,year_2021,winner_2026,party_2026,votes_2026,runner_up_votes_2026,margin_2026,reserved_2026,region_2026,year_2026,flipped,from_to
133,Vedasandur,GANDHIRAJAN S,DMK,106481,88928,17553,GEN,South,2021,SAMINATHAN. T,DMK,84948,74885,10063,GEN,South,2026,False,DMK → DMK
134,Aravakurichi,ELANGO. R,DMK,93369,68553,24816,GEN,Kongu,2021,ELANGO. R,DMK,70827,51445,19382,GEN,Kongu,2026,False,DMK → DMK
135,Karur,SENTHILBALAJI V,DMK,101757,89309,12448,GEN,Kongu,2021,M.R. VIJAYABHASKAR,AIADMK,71542,69721,1821,GEN,Kongu,2026,True,DMK → AIADMK
136,Krishnarayapuram,SIVAGAMA SUNDARI.K,DMK,96540,64915,31625,SC,Kongu,2021,SATHYA. M,TVK,62378,58875,3503,SC,Kongu,2026,True,DMK → TVK
137,Kulithalai,R.Manickam,DMK,100829,77289,23540,GEN,Kongu,2021,SURIYANUR. A. CHANDRAN,DMK,68138,67559,579,GEN,Kongu,2026,False,DMK → DMK
138,Manapparai,ABDUL SAMAD P,DMK,98077,85834,12243,GEN,Delta,2021,R. KATHIRAVAN,TVK,83041,81615,1426,GEN,Delta,2026,True,DMK → TVK
139,Srirangam,Palaniyandi.M,DMK,113904,93989,19915,GEN,Delta,2021,RAMESH,TVK,103235,69645,33590,GEN,Delta,2026,True,DMK → TVK
143,Lalgudi,A.SOUNDARAPANDIAN,DMK,84914,67965,16949,GEN,Delta,2021,LEEMAROSE MARTIN,AIADMK,60795,58056,2739,GEN,Delta,2026,True,DMK → AIADMK
144,Manachanallur,S. KATHIRAVAN,DMK,116334,56716,59618,GEN,Delta,2021,KATHIRAVAN. S,DMK,81447,69083,12364,GEN,Delta,2026,False,DMK → DMK
145,Musiri,N. Thiyagarajan,DMK,90624,63788,26836,GEN,Delta,2021,M.VIGNESH,TVK,71281,53839,17442,GEN,Delta,2026,True,DMK → TVK
146,Thuraiyur,S.STALINKUMAR,DMK,87786,65715,22071,SC,Delta,2021,RAVISANKAR.M,TVK,66263,56649,9614,SC,Delta,2026,True,DMK → TVK
147,Perambalur,"PRABHAHARAN, M.",DMK,122090,91056,31034,SC,Central,2021,SIVAKUMAR. K,TVK,90882,76489,14393,SC,Central,2026,True,DMK → TVK
148,Kunnam,"SIVASANKAR, S.S.",DMK,103922,97593,6329,GEN,Central,2021,SIVASANKAR. S.S,DMK,87237,71680,15557,GEN,Central,2026,False,DMK → DMK
149,Ariyalur,CHINNAPPA K,DMK,103975,100741,3234,GEN,Central,2021,RAJENDRAN S,AIADMK,95219,70721,24498,GEN,Central,2026,True,DMK → AIADMK
150,Jayankondam,KANNAN KA SO KA,DMK,99529,94077,5452,GEN,Central,2021,VAITHILINGAM G.,PMK,88992,70502,18490,GEN,Central,2026,True,DMK → PMK
151,Tittakudi,"GANESAN,  C.V.",DMK,83726,62163,21563,SC,Central,2021,GANESAN C.V,DMK,63106,60477,2629,SC,Central,2026,False,DMK → DMK
152,Vriddhachalam,Radhakrishnan,INC,77064,76202,862,GEN,Central,2021,PREMALLATHA VIJAYAKANT,DMDK,69351,66964,2387,GEN,Central,2026,True,INC → DMDK
153,Neyveli,SABA.RAJENDRAN,DMK,75177,74200,977,GEN,Central,2021,RAJENDRAN.R,AIADMK,63731,52769,10962,GEN,Central,2026,True,DMK → AIADMK
154,Panruti,VELMURUGAN.T,DMK,93801,89104,4697,GEN,Central,2021,MOHAN. K,AIADMK,78398,67735,10663,GEN,Central,2026,True,DMK → AIADMK
155,Cuddalore,G.IYAPPAN,DMK,84563,79412,5151,GEN,Central,2021,B.RAJKUMAR,TVK,70856,55337,15519,GEN,Central,2026,True,DMK → TVK
156,Kurinjipadi,M.R.K.PANNEERSELVAM,DMK,101456,83929,17527,GEN,Central,2021,M.R.K.PANNEERSELVAM,DMK,76695,69106,7589,GEN,Central,2026,False,DMK → DMK
157,Bhuvanagiri,Arunmozhithevan. A,AIADMK,96453,88194,8259,GEN,Central,2021,ARUNMOZHITHEVAN . A,AIADMK,75707,73220,2487,GEN,Central,2026,False,AIADMK → AIADMK
158,Chidambaram,K.A. PANDIAN,AIADMK,91961,75024,16937,GEN,Central,2021,THAMIMUN ANSARI. M,DMK,69739,63992,5747,GEN,Central,2026,True,AIADMK → DMK
159,Kattumannarkoil,SINTHANAI SELVAN,VCK,86056,75491,10565,SC,Central,2021,L.E. JOTHIMANI,VCK,85179,52116,33063,SC,Central,2026,False,VCK → VCK
161,Mayiladuthurai,Rajakumar.S,INC,73642,70900,2742,GEN,Delta,2021,JAMAL MOHAMED YOUNOOS. Y.N,INC,68011,57166,10845,GEN,Delta,2026,False,INC → INC
162,Poompuhar,Nivedha M. Murugan,DMK,96102,92803,3299,GEN,Delta,2021,NIVEDHA M MURUGAN,DMK,81096,72836,8260,GEN,Delta,2026,False,DMK → DMK
163,Nagapattinam,J. Mohamed Shanavas,VCK,66281,59043,7238,GEN,Delta,2021,M.H.JAWAHIRULLAH,DMK,56305,46524,9781,GEN,Delta,2026,True,VCK → DMK
164,Kilvelur,NAGAIMAALI V P,CPI(M),67988,51003,16985,SC,Delta,2021,LATHA. T,CPI(M),56108,53830,2278,SC,Delta,2026,False,CPI(M) → CPI(M)
165,Vedaranyam,O.S.MANIAN,AIADMK,78719,66390,12329,GEN,Delta,2021,MANIAN. O.S,AIADMK,59172,51841,7331,GEN,Delta,2026,False,AIADMK → AIADMK
167,Mannargudi,RAJAA T R B,DMK,87172,49779,37393,GEN,Delta,2021,KAMARAJ. S,AMMK,68416,66850,1566,GEN,Delta,2026,True,DMK → AMMK
168,Thiruvarur,KALAIVANAN  POONDI  K.,DMK,108906,57732,51174,GEN,Delta,2021,KALAIVANAN POONDI  K,DMK,93408,75260,18148,GEN,Delta,2026,False,DMK → DMK
169,Nannilam,KAMARAJ R,AIADMK,103637,99213,4424,GEN,Delta,2021,KAMARAJ. R,AIADMK,103462,61738,41724,GEN,Delta,2026,False,AIADMK → AIADMK
171,Kumbakonam,"ANBALAGAN, G.",DMK,96057,74674,21383,GEN,Delta,2021,VINOTH,TVK,78650,77971,679,GEN,Delta,2026,True,DMK → TVK
172,Papanasam,"Dr.JAWAHIRULLAH, M.H.",DMK,86567,70294,16273,GEN,Delta,2021,A.M. SHAHJAHAN,IUML,69284,68219,1065,GEN,Delta,2026,True,DMK → IUML
173,Thiruvaiyaru,DURAI.CHANDRASEKARAN,DMK,103210,49560,53650,GEN,Delta,2021,DURAI. CHANDRASEKARAN,DMK,80425,71870,8555,GEN,Delta,2026,False,DMK → DMK
174,Thanjavur,"NEELAMEGAM, T.K.G.",DMK,103772,56623,47149,GEN,Delta,2021,R. VIJAYSARAVANAN,TVK,87705,70750,16955,GEN,Delta,2026,True,DMK → TVK
176,Pattukkottai,"ANNADURAI, K.",DMK,79065,53796,25269,GEN,Delta,2021,ANNADURAI K,DMK,65963,52209,13754,GEN,Delta,2026,False,DMK → DMK
177,Peravurani,"ASHOKKUMAR, N.",DMK,89130,65627,23503,GEN,Delta,2021,ASHOKKUMAR. N,DMK,60919,57757,3162,GEN,Delta,2026,False,DMK → DMK
178,Gandharvakottai,M.Chinnadurai,CPI(M),69710,56989,12721,SC,Delta,2021,N. SUBRAMANIAN,TVK,58795,47756,11039,SC,Delta,2026,True,CPI(M) → TVK
179,Viralimalai,VIJAYA BASKER C,AIADMK,102179,78581,23598,GEN,Delta,2021,VIJAYABASKAR. C,AIADMK,105773,43700,62073,GEN,Delta,2026,False,AIADMK → AIADMK
180,Pudukkottai,V . MUTHURAJA,DMK,85802,72801,13001,GEN,Delta,2021,V. MUTHURAJA,DMK,66825,64958,1867,GEN,Delta,2026,False,DMK → DMK
181,Thirumayam,S.REGUPATHY,DMK,71349,69967,1382,GEN,Delta,2021,REGUPATHY.S,DMK,58201,56709,1492,GEN,Delta,2026,False,DMK → DMK
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,87935,62088,25847,GEN,Delta,2021,SIVA.V.MEYYANATHAN,DMK,64929,51952,12977,GEN,Delta,2026,False,DMK → DMK
184,Karaikudi,S.Mangudi,INC,75954,54365,21589,GEN,South,2021,DR.PRABHU. TK,TVK,101358,55284,46074,GEN,South,2026,True,INC → TVK
185,Tiruppattur,KR.PERIYAKARUPPAN,DMK,103682,66308,37374,GEN,South,2021,SEENIVASA SETHUPATHY. R,TVK,83375,83374,1,GEN,South,2026,True,DMK → TVK
186,Sivaganga,PR. Senthilnathan,AIADMK,82153,70900,11253,GEN,South,2021,KULANTHAI RANI A,TVK,73737,58656,15081,GEN,South,2026,True,AIADMK → TVK
187,Manamadurai,Tamilarasi A.,DMK,89364,75273,14091,SC,South,2021,ELANGOVAN.D,TVK,69971,68763,1208,SC,South,2026,True,DMK → TVK
